Project_ID,Donor,Sample_ID,Number_Of_Cells,Clone_ID,In_Vivo_Clone_ID
P1856,YFV2001,P1856_1001,1,152x,19
P1856,YFV2001,P1856_1002,1,UNK,
P1856,YFV2001,P1856_1003,1,UNK,
P1856,YFV2001,P1856_1004,1,152x,19
P1856,YFV2001,P1856_1005,1,UNK,
P1856,YFV2001,P1856_1006,1,152x,19
P1856,YFV2001,P1856_1007,1,152x,19
P1856,YFV2001,P1856_1008,1,152x,19
P1856,YFV2001,P1856_1009,1,152x,19
P1856,YFV2001,P1856_1010,1,152x,19
P1856,YFV2001,P1856_1011,1,153x,20
P1856,YFV2001,P1856_1012,1,152x,19
P1856,YFV2001,P1856_1013,1,152x,19
P1856,YFV2001,P1856_1014,1,152x,19
P1856,YFV2001,P1856_1015,1,152x,19
P1856,YFV2001,P1856_1016,1,UNK,
P1856,YFV2001,P1856_1017,1,152x,19
P1856,YFV2001,P1856_1018,1,152x,19
P1856,YFV2001,P1856_1019,1,152x,19
P1856,YFV2001,P1856_1020,1,152x,19
P1856,YFV2001,P1856_1021,1,152x,19
P1856,YFV2001,P1856_1022,1,152x,19
P1856,YFV2001,P1856_1023,1,153x,20
P1856,YFV2001,P1856_1024,1,153x,20
P1856,YFV2001,P1856_1025,1,152x,19
P1856,YFV2001,P1856_1026,1,152x,19
P1856,YFV2001,P1856_1027,1,153x,20
P1856,YFV2001,P1856_1028,1,153x,20
P1856,YFV2001,P1856_1029,1,UNK,
P1856,YFV2001,P1856_1030,1,153x,20
P1856,YFV2001,P1856_1031,1,UNK,
P1856,YFV2001,P1856_1032,1,152x,19
P1856,YFV2001,P1856_1033,1,152x,19
P1856,YFV2001,P1856_1034,1,UNK,
P1856,YFV2001,P1856_1035,1,UNK,
P1856,YFV2001,P1856_1036,1,152x,19
P1856,YFV2001,P1856_1037,1,152x,19
P1856,YFV2001,P1856_1038,1,152x,19
P1856,YFV2001,P1856_1039,1,UNK,
P1856,YFV2001,P1856_1040,1,152x,19
P1856,YFV2001,P1856_1041,1,UNK,
P1856,YFV2001,P1856_1042,1,UNK,
P1856,YFV2001,P1856_1043,1,152x,19
P1856,YFV2001,P1856_1044,1,153x,20
P1856,YFV2001,P1856_1045,1,UNK,
P1856,YFV2001,P1856_1046,1,UNK,
P1856,YFV2001,P1856_1047,1,UNK,
P1856,YFV2001,P1856_1048,1,153x,20
P1856,YFV2001,P1856_1049,1,153x,20
P1856,YFV2001,P1856_1050,1,152x,19
P1856,YFV2001,P1856_1051,1,152x,19
P1856,YFV2001,P1856_1052,1,152x,19
P1856,YFV2001,P1856_1053,1,906,10
P1856,YFV2001,P1856_1054,1,153x,20
P1856,YFV2001,P1856_1055,1,153x,20
P1856,YFV2001,P1856_1056,1,152x,19
P1856,YFV2001,P1856_1057,1,906,10
P1856,YFV2001,P1856_1058,1,UNK,
P1856,YFV2001,P1856_1059,1,UNK,
P1856,YFV2001,P1856_1060,1,153x,20
P1856,YFV2001,P1856_1061,1,152x,19
P1856,YFV2001,P1856_1062,1,153x,20
P1856,YFV2001,P1856_1063,1,152x,19
P1856,YFV2001,P1856_1064,1,152x,19
P1856,YFV2001,P1856_1065,1,UNK,
P1856,YFV2001,P1856_1066,1,UNK,
P1856,YFV2001,P1856_1067,1,906,10
P1856,YFV2001,P1856_1068,1,152x,19
P1856,YFV2001,P1856_1069,1,152x,19
P1856,YFV2001,P1856_1070,1,UNK,
P1856,YFV2001,P1856_1071,1,152x,19
P1856,YFV2001,P1856_1072,1,152x,19
P1856,YFV2001,P1856_1073,1,152x,19
P1856,YFV2001,P1856_1074,1,UNK,
P1856,YFV2001,P1856_1075,1,152x,19
P1856,YFV2001,P1856_1076,1,152x,19
P1856,YFV2001,P1856_1077,1,UNK,
P1856,YFV2001,P1856_1078,1,153x,20
P1856,YFV2001,P1856_1079,1,152x,19
P1856,YFV2001,P1856_1080,1,UNK,
P1856,YFV2001,P1856_1081,1,152x,19
P1856,YFV2001,P1856_1082,1,152x,19
P1856,YFV2001,P1856_1083,1,152x,19
P1856,YFV2001,P1856_1084,1,152x,19
P1856,YFV2001,P1856_1085,1,UNK,
P1856,YFV2001,P1856_1086,1,152x,19
P1856,YFV2001,P1856_1087,1,152x,19
P1856,YFV2001,P1856_1088,1,152x,19
P1856,YFV2001,P1856_1089,1,UNK,
P1856,YFV2001,P1856_1090,1,UNK,
P1856,YFV2001,P1856_1091,1,152x,19
P1856,YFV2001,P1856_1092,1,UNK,
P1856,YFV2001,P1856_1093,1,152x,19
P1856,YFV2001,P1856_1094,1,152x,19
P1856,YFV2001,P1856_1095,1,UNK,
P1856,YFV2001,P1856_1096,1,UNK,
P1856,YFV2003,P1856_1097,1,188x,39
P1856,YFV2003,P1856_1098,1,198x,25
P1856,YFV2003,P1856_1099,1,188x,39
P1856,YFV2003,P1856_1100,1,188x,39
P1856,YFV2003,P1856_1101,1,188x,39
P1856,YFV2003,P1856_1102,1,188x,39
P1856,YFV2003,P1856_1103,1,200x,22
P1856,YFV2003,P1856_1104,1,188x,39
P1856,YFV2003,P1856_1105,1,188x,39
P1856,YFV2003,P1856_1106,1,188x,39
P1856,YFV2003,P1856_1107,1,200x,22
P1856,YFV2003,P1856_1108,1,188x,39
